address,propertyType,suburb,ok,midpoint,low,high,confidence,dataScore,compCount,elapsedMs,largeLot
"6/37-39 Hillcrest Grove, Springvale, Springvale, VIC ",Unit,Springvale,true,594928,505689,684167,Medium-High,65,4,3313,
"102/690 High Street, Thornbury, Thornbury, VIC 3071",Unit,Thornbury,true,429886,377104,482668,Medium-High,70,4,3218,
"453 Station Street, Bonbeach, Bonbeach, VIC ",House,Bonbeach,true,712447,605580,819314,Medium,51,9,4740,
"3/14 Golden Avenue, Bonbeach, Bonbeach, VIC ",Unit,Bonbeach,true,641236,545051,737421,Medium,63,8,2551,
"9 Botany Court, Clarinda, Clarinda, VIC ",House,Clarinda,true,870907,740271,1001543,High,90,12,4509,
"1 Wembley Court, Mulgrave, Mulgrave, VIC ",House,Mulgrave,true,909408,772997,1045819,Medium-High,69,12,4501,
"23 Castlerock Drive, Wyndham Vale, Wyndham Vale, VIC ",House,Wyndham Vale,true,628286,534043,722529,Medium-High,77,12,4407,
"47 Milton Street, Bell Park, Bell Park, VIC ",House,Bell Park,true,615450,523133,707768,High,97,12,4606,
"4 Twain Street, Officer, Officer, VIC ",House,Officer,true,718011,610309,825713,Medium-High,66,12,4404,
"603/8 Martin Street, Heidelberg, Heidelberg, VIC ",Unit,Heidelberg,true,608203,516973,699433,Low-Medium,46,9,3184,
"1/67 Kingston Road, Heatherton, Heatherton, VIC ",Unit,Heatherton,true,712682,605780,819584,Medium,52,4,3367,
"80 Barretts Road, Langwarrin South, Langwarrin South, VIC ",House,Langwarrin South,true,6791,5772,7810,Medium,60,12,3894,
"8/15-19 Argus Street, Cheltenham, Cheltenham, VIC ",Unit,Cheltenham,true,571716,485959,657473,Medium,58,5,3275,
"409B/1093 Plenty Road, Bundoora, Bundoora, VIC ",House,Bundoora,true,754866,641636,868096,Medium,61,12,4029,
"62 James Street, Fawkner, Fawkner, VIC ",House,Fawkner,true,804135,683515,924755,High,79,12,3560,
"114 Boundary Road, Narre Warren East, Narre Warren East, VIC ",House,Narre Warren East,true,1806063,1535154,2076972,Low-Medium,44,12,4596,
"4 Leslie Street, Frankston South, Frankston South, VIC ",House,Frankston South,true,1051732,893972,1209492,Medium,54,12,4314,
"2/42 Abercrombie Avenue, Keysborough, Keysborough, VIC ",Unit,Keysborough,true,679983,577986,781980,Low-Medium,48,2,4081,
"2/5 Vista Avenue, Ringwood East, Ringwood East, VIC ",Unit,Ringwood East,true,772330,656481,888179,Medium-High,73,10,3484,
"403A/41 Stockade Avenue, Coburg, Coburg, VIC ",House,Coburg,true,1092074,928263,1255885,Low-Medium,47,12,4197,
"12/6 Walnut Street, Carnegie, Carnegie, VIC ",Unit,Carnegie,true,674584,573396,775772,Low-Medium,46,12,3590,
"6/51 Buckley Street, Moonee Ponds, Moonee Ponds, VIC 3039",Unit,Moonee Ponds,true,477892,406208,549576,Low-Medium,33,1,4397,
"2/181 Civic Parade, Altona, Altona, VIC ",Unit,Altona,true,710393,603834,816952,Low-Medium,47,12,2662,
"91 Cambridge Crescent, Wyndham Vale, Wyndham Vale, VIC ",House,Wyndham Vale,true,554198,471068,637328,Medium-High,67,12,3379,
"1 Kempsey Walk, Armstrong Creek, Armstrong Creek, VIC ",House,Armstrong Creek,true,637329,541730,732928,Medium-High,68,12,4404,
"335 Boundary Road, Dromana, Dromana, VIC ",House,Dromana,true,669641,569195,770087,Low-Medium,49,12,4507,
"51 Crossdale Rise, Endeavour Hills, Endeavour Hills, VIC ",House,Endeavour Hills,true,765102,650337,879867,Medium-High,75,12,4582,
"2/333-335 North Road, Caulfield South, Caulfield South, VIC ",Unit,Caulfield South,true,470204,399673,540735,Low-Medium,46,4,2788,
"50 Bella Vista Drive, Tootgarook, Tootgarook, VIC ",House,Tootgarook,true,685616,582774,788458,Medium,60,12,3914,
"6 Essex Court, Bayswater, Bayswater, VIC ",House,Bayswater,true,768563,653279,883847,High,92,12,4588,
"13 Brushton Street, Manor Lakes, Manor Lakes, VIC ",House,Manor Lakes,true,618569,525784,711354,Medium-High,74,12,4419,
"1 Dudley Grove, Edithvale, Edithvale, VIC ",House,Edithvale,true,1433567,1218532,1648602,Medium-High,70,12,4489,
"101/158 Francis Street, Yarraville, Yarraville, VIC 3013",Unit,Yarraville,true,545877,465293,626461,Medium-High,70,6,3275,
"52 Purches Street, Mitcham, Mitcham, VIC ",House,Mitcham,true,1206541,1025560,1387522,Medium-High,74,11,3976,
"8/24 Rushall Street, Fairfield, Fairfield, VIC ",Unit,Fairfield,true,621003,527853,714153,Medium,59,12,3398,
"9 Scarlett Street, Rockbank, Rockbank, VIC ",House,Rockbank,true,534664,454464,614864,High,78,12,4547,
"106/337 Balaclava Road, Caulfield North, Caulfield North, VIC ",Unit,Caulfield North,true,507818,431645,583991,Medium,58,4,2518,
"1/15 Fitzpatrick Drive, Altona Meadows, Altona Meadows, VIC ",Unit,Altona Meadows,true,580117,515297,644937,Medium-High,70,6,3190,
"30 Barretts Road, Langwarrin South, Langwarrin South, VIC ",House,Langwarrin South,true,6791,5772,7810,Medium,60,12,3261,
"1309/850 Whitehorse Road, Box Hill, Box Hill, VIC 3128",Unit,Box Hill,true,501051,425893,576209,Low-Medium,46,12,3790,
"1/994 Glen Huntly Road, Caulfield South, Caulfield South, VIC ",Unit,Caulfield South,true,470204,399673,540735,Low-Medium,46,4,2046,
"9/8 Lambert Road, Toorak, Toorak, VIC ",Unit,Toorak,true,844331,717681,970981,Low-Medium,43,3,3381,
"8 Rowena Place, Mount Martha, Mount Martha, VIC ",House,Mount Martha,true,1004932,854192,1155672,Low-Medium,47,12,4506,
"104 Ireland Street, West Melbourne, West Melbourne, VIC ",House,West Melbourne,true,5079516,4317589,5841443,Medium,57,12,5120,
"13 Trapani Avenue, Point Cook, Point Cook, VIC ",House,Point Cook,true,1128515,959238,1297792,Low-Medium,48,12,4607,
"3/18 Neilson Street, Bayswater, Bayswater, VIC ",Unit,Bayswater,true,671494,570770,772218,Low-Medium,46,9,2254,
"g19a/399 Burwood Highway, Burwood, Burwood, VIC ",House,Burwood,true,1588840,1350514,1827166,Low-Medium,47,9,3994,
"6 Colby Link, Derrimut, Derrimut, VIC ",House,Derrimut,true,908697,772392,1045002,Medium-High,69,12,4607,
"4/121 Mcdonald Street, Mordialloc, Mordialloc, VIC ",Unit,Mordialloc,true,660056,561048,759064,Medium,59,9,2456,
"11AB Gori Court, Narre Warren North, Narre Warren North, VIC ",House,Narre Warren North,true,1392841,1183915,1601767,Medium,64,12,4098,
"101/112-124 Middleborough Road, Blackburn South, Blackburn South, VIC ",Unit,Blackburn South,true,752755,639842,865668,Medium,56,11,3993,
"221/177 Bonnyvale Road, Ocean Grove, Ocean Grove, VIC ",Unit,Ocean Grove,true,645125,548356,741894,Low-Medium,46,4,3176,
"45 Earlswood Place, Lilydale, Lilydale, VIC ",House,Lilydale,true,1084894,922160,1247628,Low-Medium,47,12,4606,
"209/60 Edgewater Boulevard, Maribyrnong, Maribyrnong, VIC ",Unit,Maribyrnong,true,542698,461293,624103,Medium,58,12,3483,
"22 Edward Freeth Drive, Endeavour Hills, Endeavour Hills, VIC ",House,Endeavour Hills,true,781844,664567,899121,High,80,12,4198,
"19 Elder Street, Watsonia, Watsonia, VIC ",House,Watsonia,true,924686,785983,1063389,High,89,12,4298,
"1/1 Meagher Street, Watsonia, Watsonia, VIC ",Unit,Watsonia,true,773718,657660,889776,Medium,60,11,2561,
"217/125 Francis Street, Yarraville, Yarraville, VIC ",Unit,Yarraville,true,545877,465293,626461,Medium-High,70,6,2150,
"2 Andrew Crescent, Croydon South, Croydon South, VIC ",House,Croydon South,true,752208,639377,865039,Medium-High,68,12,4405,
"45 Veronica Street, Ferntree Gully, Ferntree Gully, VIC ",House,Ferntree Gully,true,810661,689062,932260,Medium,55,11,4268,
"3 Elizabeth Street, Elsternwick, Elsternwick, VIC ",House,Elsternwick,true,2877971,2446275,3309667,Medium,64,3,4642,
"7 Tennyson Street, Sandringham, Sandringham, VIC ",House,Sandringham,true,1794226,1525092,2063360,Low-Medium,48,5,4691,
"39 Geoffrey Drive, Kilsyth, Kilsyth, VIC ",House,Kilsyth,true,787246,669159,905333,Medium-High,73,12,4439,
"1 Waxflower Crescent, Bundoora, Bundoora, VIC ",Unit,Bundoora,true,754866,641636,868096,Medium,60,12,3668,
"402/39 Ryan Street, Footscray, Footscray, VIC ",Unit,Footscray,true,602396,512037,692755,Low-Medium,46,10,2356,
"11/43 Latham Street, Werribee, Werribee, VIC 3030",Unit,Werribee,true,479773,407807,551739,Medium,64,6,3378,
"2 Henty Street, Dandenong, Dandenong, VIC ",House,Dandenong,true,584300,496655,671945,Medium-High,65,9,4385,
"6 Thornton Close, Hallam, Hallam, VIC ",House,Hallam,true,585048,497291,672805,Medium-High,72,12,4423,
"29 Visage Drive, South Morang, South Morang, VIC ",House,South Morang,true,792536,673656,911416,Medium,60,12,4402,
"414/1044-1046 Mount Alexander Road, Essendon, Essendon, VIC ",Unit,Essendon,true,556804,473283,640325,Low-Medium,46,10,2867,
"E01/42 Stephen Street, Yarraville, Yarraville, VIC ",House,Yarraville,true,1314125,1117006,1511244,Low-Medium,46,12,3174,
"8 Ailsa Street, Laverton, Laverton, VIC ",House,Laverton,true,577162,490588,663736,High,90,12,4405,
"204/404 Burwood Highway, Wantirna South, Wantirna South, VIC ",Unit,Wantirna South,true,417230,354646,479814,Low-Medium,43,3,3175,
"2 Briar Rose Walk, Croydon South, Croydon South, VIC ",House,Croydon South,true,752208,639377,865039,High,78,12,3584,
"9 Banjo Circuit, Lynbrook, Lynbrook, VIC ",House,Lynbrook,true,794958,675714,914202,Medium-High,72,12,4506,
"111 Gowanbrae Drive, Gowanbrae, Gowanbrae, VIC ",House,Gowanbrae,true,968714,823407,1114021,Low-Medium,45,12,3172,
"2 Auburn Crescent, Doncaster, Doncaster, VIC 3108",House,Doncaster,true,1068526,908247,1228805,Medium,52,10,4507,
"20 Akuna Avenue, Notting Hill, Notting Hill, VIC ",House,Notting Hill,true,2929207,2489826,3368588,Medium,57,9,3691,
"10 Breadalbane Avenue, Cairnlea, Cairnlea, VIC ",House,Cairnlea,true,1017920,865232,1170608,High,79,12,4502,
"5909/70 Southbank Boulevard, Southbank, Southbank, VIC 3006",Unit,Southbank,true,575773,489407,662139,Low-Medium,46,11,4303,
"7 Plane Street, Thomastown, Thomastown, VIC ",House,Thomastown,true,711318,604620,818016,High,87,12,4603,
"3/18 Tudor Street, Glenroy, Glenroy, VIC ",Unit,Glenroy,true,583539,496008,671070,Medium-High,65,6,3379,
"38 Ferris Street, Sunbury, Sunbury, VIC ",House,Sunbury,true,679070,577210,780930,Medium-High,66,12,4507,
"1/8 Florence Road, Surrey Hills, Surrey Hills, VIC ",Unit,Surrey Hills,true,1057960,899266,1216654,Low-Medium,48,5,3276,
"4 Vule Street, St Albans, St Albans, VIC ",House,St Albans,true,463907,394321,533493,Medium,61,12,4607,
"2/51-53 Bank Street, Box Hill, Box Hill, VIC ",Unit,Box Hill,true,506344,430392,582296,Low-Medium,46,12,2970,
"308/118 Cairnlea Drive, Cairnlea, Cairnlea, VIC ",Unit,Cairnlea,true,359146,305274,413018,Medium-High,65,6,2357,
"25 Nira Drive, Sunbury, Sunbury, VIC ",House,Sunbury,true,679070,577210,780930,Medium-High,66,12,3890,
"1 Glyndon Avenue, Coburg North, Coburg North, VIC ",House,Coburg North,true,1108630,942336,1274925,Medium-High,70,11,4404,
"2/47 Union Street, Brighton East, Brighton East, VIC ",Unit,Brighton East,true,936880,796348,1077412,Low-Medium,43,3,3892,
"16 Wolseley Parade, Kensington, Kensington, VIC 3031",House,Kensington,true,1348718,1253451,1443985,Medium-High,70,8,5323,
"7 Nareen Avenue, Endeavour Hills, Endeavour Hills, VIC ",House,Endeavour Hills,true,765102,650337,879867,Medium-High,67,12,4303,
"306/1090 Nepean Highway, Highett, Highett, VIC ",Unit,Highett,true,555126,471857,638395,Low-Medium,46,4,3341,
"1405/851 Whitehorse Road, Box Hill, Box Hill, VIC ",Unit,Box Hill,true,506344,430392,582296,Low-Medium,46,12,2802,
"249/173 City Road,, Southbank, Southbank, VIC 3006",Unit,249/173 City Road,true,575773,489407,662139,Low-Medium,46,11,3001,
"3/47 Moonya Road, Carnegie, Carnegie, VIC 3163",Unit,Carnegie,true,677519,575891,779147,Low-Medium,47,12,2629,
"4/26 Beach Avenue, Elwood, Elwood, VIC 3184",Unit,Elwood,true,548549,466267,630831,Low-Medium,46,8,3278,
"8 Cinerea Glade, Langwarrin, Langwarrin, VIC ",House,Langwarrin,true,834614,709422,959806,High,82,12,4505,
"902/101 Tram Road, Doncaster, Doncaster, VIC 3108",Unit,Doncaster,true,685140,582369,787911,Low-Medium,47,7,2355,
"18 Verdon Street, Clyde, Clyde, VIC ",House,Clyde,true,763838,650106,877570,Medium-High,71,12,3686,
"111/220 Bay Road, Sandringham, Sandringham, VIC ",Unit,Sandringham,true,733672,623621,843723,Low-Medium,46,8,1951,
"40 Finch Street, Burwood, Burwood, VIC ",House,Burwood,true,1588840,1350514,1827166,Medium,55,9,3477,
"3/9 Wilgah Street, Thomastown, Thomastown, VIC ",Unit,Thomastown,true,501127,425958,576296,Low-Medium,34,2,3280,
"4/54-56 Gladstone Street, St Albans, St Albans, VIC ",Unit,St Albans,true,655714,557357,754071,Medium,58,5,2557,
"7 Kalawar Avenue, Bayswater North, Bayswater North, VIC ",House,Bayswater North,true,809577,688140,931014,High,80,12,4711,
"404/107 Hawke Street, West Melbourne, West Melbourne, VIC ",Unit,West Melbourne,true,603569,513034,694104,Low-Medium,46,12,2662,
"30 Madura Promenade, Mickleham, Mickleham, VIC ",House,Mickleham,true,611874,520093,703655,Medium-High,65,12,3638,
"13 Sturdee Road, Donvale, Donvale, VIC ",House,Donvale,true,1473876,1252795,1694957,Low-Medium,46,12,4534,
"1108/65 Dudley Street, West Melbourne, West Melbourne, VIC 3003",Unit,West Melbourne,true,605575,514739,696411,Low-Medium,46,12,2989,
"314 Serpells Road, Templestowe, Templestowe, VIC ",House,Templestowe,true,1492141,1268320,1715962,Medium,58,12,4540,
"16a St Kinnord Street, Aberfeldie, Aberfeldie, VIC ",House,Aberfeldie,true,2104492,1788818,2420166,Medium,62,12,5394,
"48 Medway Road, Craigieburn, Craigieburn, VIC ",House,Craigieburn,true,709718,603260,816176,Medium,60,12,4095,
"2/13 Slevin Street, Lilydale, Lilydale, VIC ",Unit,Lilydale,true,671679,570927,772431,Low-Medium,34,1,3380,
"2 Gunbower Close, Thomastown, Thomastown, VIC ",House,Thomastown,true,714401,607241,821561,High,97,12,3685,
"19 Glenvale Road, Donvale, Donvale, VIC ",House,Donvale,true,1473876,1252795,1694957,Low-Medium,46,12,3633,
"2 Albany Court, Wantirna, Wantirna, VIC ",House,Wantirna,true,1030518,875940,1185096,Medium,62,12,3622,
"25 Belindavale Drive, Knoxfield, Knoxfield, VIC ",House,Knoxfield,true,777754,661091,894417,High,83,12,3484,
"20 Oban Road, Officer South, Officer South, VIC ",House,Officer South,true,900984,765836,1036132,High,80,12,4197,
"35 Peebles Street, Endeavour Hills, Endeavour Hills, VIC ",House,Endeavour Hills,true,765102,650337,879867,Medium-High,71,12,3894,
"2/46 Richardson Street, Essendon, Essendon, VIC ",Unit,Essendon,true,556804,473283,640325,Low-Medium,46,10,2414,
"3/14 Ella Grove, Chelsea, Chelsea, VIC ",Unit,Chelsea,true,776513,660036,892990,Medium,59,12,3282,
"7 Meyer Crescent, Clyde North, Clyde North, VIC ",House,Clyde North,true,773834,657759,889909,Medium-High,66,12,4855,
"21 Curlew Avenue, Altona, Altona, VIC ",House,Altona,true,882766,750351,1015181,Medium-High,65,12,3678,
"15 Loyola Court, Watsonia, Watsonia, VIC ",House,Watsonia,true,924686,785983,1063389,High,90,12,3694,
"9/12 Leonard Crescent, Ascot Vale, Ascot Vale, VIC 3032",Unit,Ascot Vale,true,424403,360743,488063,Low-Medium,46,4,3482,
"39 Willaroy Boulevard, Donnybrook, Donnybrook, VIC ",House,Donnybrook,true,642418,546055,738781,Medium,59,12,3277,
"18 Franleigh Drive, Narre Warren, Narre Warren, VIC ",House,Narre Warren,true,586571,498585,674557,Medium-High,74,12,4813,
"45 Meadowlark Lane, Mooroolbark, Mooroolbark, VIC ",House,Mooroolbark,true,943871,802290,1085452,Medium-High,76,12,4609,
"123A Abbott Street, Sandringham, Sandringham, VIC ",House,Sandringham,true,1794226,1525092,2063360,Low-Medium,49,5,3890,
"23 St Ives Grove, Mount Martha, Mount Martha, VIC ",House,Mount Martha,true,1004932,854192,1155672,Medium,55,12,3789,
"80 Shady Grove, Forest Hill, Forest Hill, VIC ",House,Forest Hill,true,1008372,857116,1159628,Medium,58,10,4198,
"46 Reverence Drive, Rockbank, Rockbank, VIC ",House,Rockbank,true,534664,454464,614864,High,83,12,4145,
"6/2 Flowers Street, Caulfield South, Caulfield South, VIC ",Unit,Caulfield South,true,470205,399674,540736,Low-Medium,46,4,2103,
"4 Tumut Court, Patterson Lakes, Patterson Lakes, VIC ",House,Patterson Lakes,true,1183298,1005803,1360793,High,79,12,4402,
"2/153 Warrandyte Road, Langwarrin, Langwarrin, VIC ",House,Langwarrin,true,623148,529676,716620,Medium,64,10,2316,
"G14/1 Queen Street, Blackburn, Blackburn, VIC ",House,Blackburn,true,1244624,1057930,1431318,Medium-High,73,10,3809,
"2/23 Dalsten Grove, Mount Eliza, Mount Eliza, VIC ",Unit,Mount Eliza,true,884947,752205,1017689,Medium,64,10,3601,
"21 Greengables Drive, Wyndham Vale, Wyndham Vale, VIC ",House,Wyndham Vale,true,554198,471068,637328,Medium-High,72,12,3646,
"1/136 Booran Road, Glen Huntly, Glen Huntly, VIC ",Unit,Glen Huntly,true,663883,564301,763465,Low-Medium,47,12,3420,
"6/108 Glen Iris Road, Glen Iris, Glen Iris, VIC 3146",Unit,Glen Iris,true,731199,621519,840879,Low-Medium,45,12,4096,
"802/18 Mccombie Street, Elsternwick, Elsternwick, VIC ",Unit,Elsternwick,true,627693,533539,721847,Medium,64,6,2355,
"310/19 Pentridge Boulevard, Coburg, Coburg, VIC ",Unit,Coburg,true,602888,512455,693321,Low-Medium,46,8,2662,
"3/4 The Strand, Chelsea, Chelsea, VIC ",Unit,Chelsea,true,777403,660793,894013,Medium,60,12,2561,
"67 Cinerama Crescent, McCrae, McCrae, VIC ",House,McCrae,true,1061985,902687,1221283,Low-Medium,45,12,3278,
"2/7 Dudley Street, Caulfield East, Caulfield East, VIC ",Unit,Caulfield East,true,283697,241142,326252,Low-Medium,45,11,3070,
"2/1 Inga Street, Oakleigh East, Oakleigh East, VIC ",Unit,Oakleigh East,true,716641,609145,824137,Low-Medium,47,9,2765,
"6/18A Bloomfield Road, Ascot Vale, Ascot Vale, VIC 3032",Unit,Ascot Vale,true,424403,360743,488063,Low-Medium,46,4,2048,
"24 Guardian Street, Mickleham, Mickleham, VIC ",House,Mickleham,true,640532,544452,736612,Medium,59,12,2641,
"53 Hargreaves Crescent, Braybrook, Braybrook, VIC ",House,Braybrook,true,978997,832147,1125847,Medium-High,74,11,4322,
"2/198 Hilton Street, Glenroy, Glenroy, VIC ",Unit,Glenroy,true,609983,518486,701480,Medium-High,65,6,2357,
"65 Welcome Road, Diggers Rest, Diggers Rest, VIC ",House,Diggers Rest,true,601414,511202,691626,High,78,12,4710,
"511/1 Warde Street, Footscray, Footscray, VIC 3011",Unit,Footscray,true,602396,512037,692755,Low-Medium,46,10,2662,
"28 Llewellyn Court, Noble Park, Noble Park, VIC ",House,Noble Park,true,732164,622339,841989,High,91,12,4302,
"32 Hatherley Grove, Altona North, Altona North, VIC ",House,Altona North,true,805084,684321,925847,High,80,9,3995,
"34 Callistemon Avenue, Keysborough, Keysborough, VIC ",Unit,Keysborough,true,818409,695648,941170,Medium-High,66,12,3790,
"8/65 Station Street, Malvern, Malvern, VIC 3144",Unit,Malvern,true,707885,601702,814068,Low-Medium,43,3,3478,
"2/252 Station Street, Edithvale, Edithvale, VIC ",Unit,Edithvale,true,922174,783848,1060500,Medium,59,6,2357,
"14 Mackenzie Court, Croydon South, Croydon South, VIC ",House,Croydon South,true,752208,639377,865039,Medium-High,73,12,5206,
"2/29 Willow Drive, Hampton Park, Hampton Park, VIC ",Unit,Hampton Park,true,573428,536872,609984,Medium,64,3,3471,
"106/801 Whitehorse Rd, Mont Albert, Mont Albert, VIC ",Unit,Mont Albert,true,700299,595254,805344,Medium,60,3,3021,
"1/16 Tarella Road, Chelsea, Chelsea, VIC ",Unit,Chelsea,true,776513,660036,892990,Medium,59,12,2859,
"30/31 Moreland Street, Footscray, Footscray, VIC ",Unit,Footscray,true,602396,512037,692755,Low-Medium,46,10,2457,
"1/5 Tom Roberts Parade, Point Cook, Point Cook, VIC ",Unit,Point Cook,true,462992,433476,492508,Medium-High,66,3,3992,
"1/40 Fenton Street, Huntingdale, Huntingdale, VIC ",Unit,Huntingdale,true,465353,395550,535156,Medium,57,9,2621,
"3/21 William Street, McCrae, McCrae, VIC ",Unit,McCrae,true,652470,554600,750341,Low-Medium,33,1,3554,
"3/608 Moreland Road, Brunswick West, Brunswick West, VIC ",Unit,Brunswick West,true,524553,445870,603236,Low-Medium,46,12,3552,
"1/129 Moriah Street, Clayton, Clayton, VIC ",Unit,Clayton,true,525657,446808,604506,Low-Medium,46,12,3275,
"1302/5 Joseph Road, Footscray, Footscray, VIC ",Unit,Footscray,true,602396,512037,692755,Low-Medium,46,10,2634,
"203/125 Francis Street, Yarraville, Yarraville, VIC ",Unit,Yarraville,true,545877,465294,626460,Medium-High,70,6,2078,
"150 Keneally Street, Dandenong, Dandenong, VIC ",Unit,Dandenong,true,584300,496655,671945,Medium,60,9,3481,
"3/12 David Street, Altona, Altona, VIC ",Unit,Altona,true,708433,602168,814698,Low-Medium,47,12,2663,
"101/21 Lethbridge Street, Moonee Ponds, Moonee Ponds, VIC 3039",Unit,Moonee Ponds,true,477892,406208,549576,Low-Medium,33,1,3584,
"2/70 Glen Huntly Road, Elwood, Elwood, VIC 3184",Unit,Elwood,true,548549,466267,630831,Low-Medium,46,8,2570,
"1/17 Braund Avenue, Bell Post Hill, Bell Post Hill, VIC ",Unit,Bell Post Hill,true,554989,471741,638237,Medium-High,69,3,2754,
"8 Noel Road, Langwarrin, Langwarrin, VIC ",Unit,Langwarrin,true,834614,709422,959806,Medium-High,77,12,3721,
"9/292-294 Canterbury Road, Heathmont, Heathmont, VIC ",Unit,Heathmont,true,725920,617032,834808,Medium,53,4,3490,
"1310/41 Batman Street, West Melbourne, West Melbourne, VIC ",Unit,West Melbourne,true,605575,514739,696411,Low-Medium,46,12,2722,
"33 Nursery Avenue, Frankston, Frankston, VIC ",House,Frankston,true,826675,702674,950676,Low-Medium,48,12,5143,
"10 Balmoral Avenue, Balwyn, VIC",House,Balwyn,true,1780430,1513366,2047494,Low-Medium,44,3,4698,yes
"42 Tintern Avenue, Toorak, VIC",House,Toorak,true,2388687,2030384,2746990,Low-Medium,36,2,5109,yes
"8 Russell Street, Camberwell, VIC",House,Camberwell,true,2722100,2313785,3130415,Low-Medium,45,3,5734,yes
"25 Fulton Drive, Templestowe, VIC",House,Templestowe,true,1486987,1263939,1710035,Low-Medium,48,12,3436,yes
"15 Brooklyn Avenue, Mount Waverley, VIC",House,Mount Waverley,true,1231910,1047124,1416697,Medium-High,73,9,4147,yes
"7 Pannam Drive, Doncaster East, VIC",House,Doncaster East,true,1391148,1182476,1599820,Medium-High,67,12,4145,yes
"68 Kameruka Road, Wheelers Hill, VIC",House,Wheelers Hill,true,1161456,987238,1335674,Medium,63,9,3937,yes
"33 Baringo Close, Mulgrave, VIC",House,Mulgrave,true,909408,772997,1045819,Medium-High,68,12,3073,yes
"19 Inglesby Road, Camberwell, VIC",House,Camberwell,true,2718152,2310429,3125875,Low-Medium,45,3,4407,yes
"12 Cygnet Street, Wantirna South, VIC",House,Wantirna South,true,1108713,942406,1275020,Low-Medium,48,11,3172,yes
"10/5-7 St James Road, Armadale, Armadale, VIC 3143",Unit,Armadale,false,,,,,,,4301,
"1202S/889 Collins Street, Docklands, Docklands, VIC 3008",Unit,Docklands,false,,,,,,,4113,
"7/9 St Georges Road, Armadale, Armadale, VIC 3143",Unit,Armadale,false,,,,,,,4504,
"511/187 Boundary Road, North Melbourne, North Melbourne, VIC ",Unit,North Melbourne,false,,,,,,,47539,
"G01/881 High Street, Armadale, Armadale, VIC 3143",Unit,Armadale,false,,,,,,,4466,
